code,norm_code,name,category,sub_category,swatch_type,swatch_file,hex_catalog,hex_sampled,source_page,roll_size,supplier_price_per_m,supplier_price_per_roll,availability_flag,orderable,manage_stock,available_m,stock_status,stock_tab,stock_raw_code,in_price_sheet
BLC01,BLC01,Valen,01 Basic,Mono Blanc,image,BLC01.jpg,#D8D9D3,#D8D9D3,6,1.22 x 40m,28.88,1100.0,In Stock,True,True,2279.0,instock,Marbles + Stone + Concrete,BLC01 (40m) (NEW),True
BLC02,BLC02,Cream,01 Basic,Mono Blanc,image,BLC02.jpg,#EEECE1,#EEECE1,6,1.22 x 40m,28.88,1100.0,In Stock,True,True,611.0,instock,Marbles + Stone + Concrete,BLC02 (40m) (NEW),True
BLC03,BLC03,Pocelain,01 Basic,Mono Blanc,image,BLC03.jpg,#EAE7DF,#EAE7DE,6,1.22 x 40m,28.88,1100.0,In Stock,True,True,661.0,instock,Marbles + Stone + Concrete,BLC03 (40m) (NEW),True
BLC04,BLC04,Terranova,01 Basic,Mono Blanc,image,BLC04.jpg,#CFD6CF,#CFD6CF,6,1.22 x 40m,28.88,1100.0,In Stock,True,True,528.0,instock,Marbles + Stone + Concrete,BLC04 (40m) (NEW),True
BLC05,BLC05,Pure White,01 Basic,Mono Blanc,image,BLC05.jpg,#EAECE4,#EAECE4,6,1.22 x 40m,28.88,1100.0,In Stock,True,True,420.0,instock,Marbles + Stone + Concrete,BLC05 (40m) (NEW),True
BLC06,BLC06,Cream White,01 Basic,Mono Blanc,image,BLC06.jpg,#E9E7DC,#E9E7DC,6,1.22 x 40m,42.7,1708.0,Special Order,False,False,,onbackorder,,,True
BLC07,BLC07,White,01 Basic,Mono Blanc,image,BLC07.jpg,#E1E6DE,#E1E6DE,6,1.22 x 40m,42.7,1708.0,Special Order,False,False,,onbackorder,,,True
PTW01,PTW01,Ivory,01 Basic,Painted Wood,image,PTW01.jpg,#F8FAEF,#F8FAEF,9,1.22 x 50 m,35.81,1705.0,In Stock,True,True,1332.0,instock,Painted Woods + Woods,PTW01,True
PTW02,PTW02,Medium Beige,01 Basic,Painted Wood,image,PTW02.jpg,#D6D4BD,#D6D4BE,9,1.22 x 50 m,50.0,2500.0,Special Order,False,False,,onbackorder,,,True
PTW04,PTW04,Dark Grey,01 Basic,Painted Wood,image,PTW04.jpg,#4A5958,#4A5858,9,1.22 x 50 m,50.0,2500.0,Special Order,False,False,,onbackorder,,,True
PTW05,PTW05,Blue Grey,01 Basic,Painted Wood,image,PTW05.jpg,#638186,#638187,9,1.22 x 50 m,50.0,2500.0,Special Order,False,False,,onbackorder,,,True
PTW06,PTW06,Dusty Teal,01 Basic,Painted Wood,image,PTW06.jpg,#86B0AC,#87B1AD,9,1.22 x 50 m,50.0,2500.0,Special Order,False,False,,onbackorder,,,True
PTW07,PTW07,Blue,01 Basic,Painted Wood,image,PTW07.jpg,#1A2747,#1A2748,9,1.22 x 50 m,35.81,1705.0,In Stock,True,True,282.0,instock,Painted Woods + Woods,PTW07,True
PTW08,PTW08,Pistachio Green,01 Basic,Painted Wood,image,PTW08.jpg,#A6B5A4,#A6B5A4,9,1.22 x 50 m,35.81,1705.0,In Stock,True,True,268.0,instock,Painted Woods + Woods,PTW08,True
PTW09,PTW09,Taupe,01 Basic,Painted Wood,image,PTW09.jpg,#70766A,#70766A,9,1.22 x 50 m,35.81,1705.0,In Stock,True,True,738.0,instock,Painted Woods + Woods,PTW09,True
PTW10,PTW10,Light Beige,01 Basic,Painted Wood,image,PTW10.jpg,#DEDFD9,#DEDFD9,9,1.22 x 50 m,35.81,1705.0,In Stock,True,True,900.0,instock,Painted Woods + Woods,PTW10,True
PTW11,PTW11,Light Grey,01 Basic,Painted Wood,image,PTW11.jpg,#9BA099,#9BA09A,9,1.22 x 50 m,35.81,1705.0,In Stock,True,True,427.0,instock,Painted Woods + Woods,PTW11,True
PTW12,PTW12,Dark Greige,01 Basic,Painted Wood,image,PTW12.jpg,#818779,#818779,9,1.22 x 50 m,50.0,2500.0,Special Order,False,False,,onbackorder,,,True
PTW14,PTW14,Greige,01 Basic,Painted Wood,image,PTW14.jpg,#BCC7C3,#BDC8C3,9,1.22 x 50 m,35.81,1705.0,In Stock,True,True,1117.0,instock,Painted Woods + Woods,PTW14,True
PTW15,PTW15,Black,01 Basic,Painted Wood,image,PTW15.jpg,#15191D,#161A1D,9,1.22 x 50 m,35.81,1705.0,In Stock,True,True,990.0,instock,Painted Woods + Woods,PTW15,True
PTW16,PTW16,Matte White,01 Basic,Painted Wood,image,PTW16.jpg,#FDFBF8,#FDFCF8,9,1.22 x 50 m,35.81,1705.0,In Stock,True,True,1097.0,instock,Painted Woods + Woods,PTW16,True
ZSW04,ZSW04,White,01 Basic,Painted Wood,image,ZSW04.jpg,#F8F6F6,#F8F6F6,9,1.22 x 50 m,35.81,1705.0,In Stock,True,True,2971.0,instock,Painted Woods + Woods,ZSW04,True
PNC41,PNC41,Stone Blast,01 Basic,Premium Painted Concrete,image,PNC41.jpg,#9D9187,#9D9187,7,1.22 x 40 m,51.5,2060.0,Special Order,False,True,2.0,instock,Marbles + Stone + Concrete,PNC41 (40m),True
PNC42,PNC42,Stone Blast,01 Basic,Premium Painted Concrete,image,PNC42.jpg,#DEE4E2,#DEE4E2,7,1.22 x 40 m,38.12,1452.0,In Stock,True,True,666.0,instock,Marbles + Stone + Concrete,PNC42 (40m),True
PNC43,PNC43,Stone Blast,01 Basic,Premium Painted Concrete,image,PNC43.jpg,#BFBCB3,#BFBCB3,7,1.22 x 40 m,38.12,1452.0,In Stock,True,True,242.0,instock,Marbles + Stone + Concrete,PNC43 (40m),True
PNC44,PNC44,Stucco,01 Basic,Premium Painted Concrete,image,PNC44.jpg,#ECEFEE,#ECEFEE,7,1.22 x 40 m,38.12,1452.0,In Stock,True,True,620.0,instock,Marbles + Stone + Concrete,PNC44 (40m),True
PNC45,PNC45,Stucco,01 Basic,Premium Painted Concrete,image,PNC45.jpg,#AAADA4,#AAADA4,7,1.22 x 40 m,51.5,2060.0,Special Order,False,True,333.0,instock,Marbles + Stone + Concrete,PNC45 (40m),True
PNC46,PNC46,Stucco,01 Basic,Premium Painted Concrete,image,PNC46.jpg,#878C86,#878C86,7,1.22 x 40 m,51.5,2060.0,Special Order,False,False,,onbackorder,,,True
PNC47,PNC47,Slate,01 Basic,Premium Painted Concrete,image,PNC47.jpg,#EBE9E1,#EBE9E1,7,1.22 x 40 m,38.12,1452.0,In Stock,True,True,1152.0,instock,Marbles + Stone + Concrete,PNC47 (40m),True
PNC49,PNC49,Moonstone,01 Basic,Premium Painted Concrete,image,PNC49.jpg,#D3D2C9,#DEDCD3,7,1.22 x 40 m,38.12,1452.0,In Stock,True,True,3431.0,instock,Marbles + Stone + Concrete,PNC49 (40m),True
PNC50,PNC50,Moonstone,01 Basic,Premium Painted Concrete,image,PNC50.jpg,#B6BDB3,#B6BDB3,7,1.22 x 40 m,38.12,1452.0,In Stock,True,True,2517.0,instock,Marbles + Stone + Concrete,PNC50 (40m),True
PNC51,PNC51,Stone Blast,01 Basic,Premium Painted Concrete,image,PNC51.jpg,#FCFCFC,#FCFCFC,7,1.22 x 40 m,38.12,1452.0,In Stock,True,True,883.0,instock,Marbles + Stone + Concrete,PNC51 (40m),True
PNC52,PNC52,Moonstone,01 Basic,Premium Painted Concrete,image,PNC52.jpg,#F4F8FA,#F4F8FB,7,1.22 x 40 m,38.12,1452.0,In Stock,True,True,1064.0,instock,Marbles + Stone + Concrete,PNC52 (40m),True
PNC53,PNC53,Stone Blast,01 Basic,Premium Painted Concrete,image,PNC53.jpg,#DAE0DD,#DAE0DD,7,1.22 x 40 m,38.12,1452.0,In Stock,True,True,734.0,instock,Marbles + Stone + Concrete,PNC53 (40m),True
PNC54,PNC54,Stucco,01 Basic,Premium Painted Concrete,image,PNC54.jpg,#546A66,#556A67,7,1.22 x 40 m,38.12,1452.0,In Stock,True,True,759.0,instock,Marbles + Stone + Concrete,PNC54 (40m),True
PNC55,PNC55,Concrete White,01 Basic,Premium Painted Concrete,image,PNC55.jpg,#D8DACE,#D8DACD,7,1.22 x 40 m,38.12,1452.0,In Stock,True,True,2916.0,instock,Marbles + Stone + Concrete,PNC55 (40m),True
PNC56,PNC56,Light Grey,01 Basic,Premium Painted Concrete,image,PNC56.jpg,#9AA79E,#99A69E,7,1.22 x 40 m,38.12,1452.0,In Stock,True,True,353.0,instock,Marbles + Stone + Concrete,PNC56 (40m),True
PNC57,PNC57,Dark Stone,01 Basic,Premium Painted Concrete,image,PNC57.jpg,#404840,#3F4840,7,1.22 x 40m,38.12,1452.0,In Stock,True,True,327.0,instock,Marbles + Stone + Concrete,PNC57 (40m),True
PNC58,PNC58,Sand Stone,01 Basic,Premium Painted Concrete,image,PNC58.jpg,#BEBBB2,#BDBBB2,7,1.22 x 40m,38.12,1452.0,In Stock,True,True,1124.0,instock,Marbles + Stone + Concrete,PNC58 (40m),True
PNC59,PNC59,Sand Stone,01 Basic,Premium Painted Concrete,image,PNC59.jpg,#ACB2A6,#ACB2A6,7,1.22 x 40m,38.12,1452.0,In Stock,True,True,1279.0,instock,Marbles + Stone + Concrete,PNC59 (40m),True
PNT01,PNT01,White,01 Basic,Premium Painted Wood,image,PNT01.jpg,#F2F6F5,#F2F6F5,9,1.22 x 40 m,35.81,1364.0,In Stock,True,True,417.0,instock,Painted Woods + Woods,PNT01 (40m),True
PNT02,PNT02,Light Grey,01 Basic,Premium Painted Wood,image,PNT02.jpg,#CFD6C8,#CFD6C8,9,1.22 x 40 m,35.81,1364.0,In Stock,True,True,725.0,instock,Painted Woods + Woods,PNT02 (40m),True
PNT03,PNT03,Light Greige,01 Basic,Premium Painted Wood,image,PNT03.jpg,#BABFB3,#BABFB4,9,1.22 x 40 m,35.81,1364.0,In Stock,True,True,846.0,instock,Painted Woods + Woods,PNT03 (40m),True
